cdbawcensusuid,geoid,pctorigarea
0,36081107202,0.0
0,36081071600,0.5202
0,36081107202,0.0004
1,36061004500,1.0
1,36061001501,0.0049
1,36061001501,0.0011
1,36061001502,0.202
1,36061031703,1.0
1,36061000201,1.0
1,36061001501,0.994
1,36061004900,1.0
1,36061005501,0.6568
1,36061005502,0.7106
1,36061003002,0.0203
1,36061003601,1.0
1,36061003602,0.5568
1,36061003300,1.0
1,36061004700,1.0
1,36061004100,1.0
1,36061004300,1.0
1,36061001200,0.0956
1,36061001401,0.9702
1,36061001402,0.867
1,36061001502,0.798
1,36061001800,1.0
1,36061002100,1.0
1,36061002700,1.0
1,36061003001,0.6119
1,36061002500,1.0
1,36061003900,1.0
1,36061000800,1.0
1,36061001600,1.0
1,36061003700,1.0
1,36047000100,0.8365
1,36061000700,0.9165
1,36061000600,1.0
1,36047001300,0.0095
1,36061000202,0.1957
1,36047002100,0.3921
1,36061003100,1.0
1,36061000900,0.0058
1,36061031704,1.0
1,36061002900,1.0
1,36061000900,0.8428
1,36061001300,1.0
1,36061031900,1.0
1,36061000700,0.0835
1,36061000900,0.0735
1,36047000501,0.0136
1,36047000301,0.3336
1,36061006700,0.2642
1,36061006500,0.2837
1,36061006900,0.1749
2,36081017100,0.0184
2,36047044900,0.1778
2,36061002400,0.0033
2,36047056900,1.0
2,36047059300,1.0
2,36047055100,0.1036
2,36061002800,0.316
2,36047047700,0.781
2,36047049700,0.7315
2,36047049900,1.0
2,36047050100,0.9991
2,36047050300,0.0394
2,36047051300,0.1216
2,36047051500,1.0
2,36047051700,1.0
2,36047051900,0.9158
2,36047052300,0.0
2,36047055300,1.0
2,36047056100,1.0
2,36047057100,1.0
2,36047057300,1.0
2,36047059100,1.0
2,36061004400,0.0014
2,36047055700,1.0
2,36061002000,0.0009
2,36061002400,0.0025
2,36061002400,0.0019
2,36061002400,0.0113
2,36061002400,0.6944
2,36047055500,0.9998
2,36081000100,0.7604
2,36061008601,0.0033
2,36047056300,1.0
2,36047056500,1.0
2,36047057500,1.0
2,36047057900,1.0
2,36081000700,0.7931
2,36081001900,0.1699
2,36047058900,1.0
2,36081019900,0.4999
2,36061006200,0.0104
2,36061006200,0.2175
2,36061006000,0.3638
2,36061004400,0.4821
0,36081107202,0.0
0,36081071600,0.5202
0,36081107202,0.0004
1,36061004500,1.0
1,36061001501,0.0049
1,36061001501,0.0011
1,36061001502,0.202
1,36061031703,1.0
1,36061000201,1.0
1,36061001501,0.994
1,36061004900,1.0
1,36061005501,0.6568
1,36061005502,0.7106
1,36061003002,0.0203
1,36061003601,1.0
1,36061003602,0.5568
1,36061003300,1.0
1,36061004700,1.0
1,36061004100,1.0
1,36061004300,1.0
1,36061001200,0.0956
1,36061001401,0.9702
1,36061001402,0.867
1,36061001502,0.798
1,36061001800,1.0
1,36061002100,1.0
1,36061002700,1.0
1,36061003001,0.6119
1,36061002500,1.0
1,36061003900,1.0
1,36061000800,1.0
1,36061001600,1.0
1,36061003700,1.0
1,36047000100,0.8365
1,36061000700,0.9165
1,36061000600,1.0
1,36047001300,0.0095
1,36061000202,0.1957
1,36047002100,0.3921
1,36061003100,1.0
1,36061000900,0.0058
1,36061031704,1.0
1,36061002900,1.0
1,36061000900,0.8428
1,36061001300,1.0
1,36061031900,1.0
1,36061000700,0.0835
1,36061000900,0.0735
1,36047000501,0.0136
1,36047000301,0.3336
1,36061006700,0.2642
1,36061006500,0.2837
1,36061006900,0.1749
2,36081017100,0.0184
2,36047044900,0.1778
2,36061002400,0.0033
2,36047056900,1.0
2,36047059300,1.0
2,36047055100,0.1036
2,36061002800,0.316
2,36047047700,0.781
2,36047049700,0.7315
2,36047049900,1.0
2,36047050100,0.9991
2,36047050300,0.0394
2,36047051300,0.1216
2,36047051500,1.0
2,36047051700,1.0
2,36047051900,0.9158
2,36047052300,0.0
2,36047055300,1.0
2,36047056100,1.0
2,36047057100,1.0
2,36047057300,1.0
2,36047059100,1.0
2,36061004400,0.0014
2,36047055700,1.0
2,36061002000,0.0009
2,36061002400,0.0025
2,36061002400,0.0019
2,36061002400,0.0113
2,36061002400,0.6944
2,36047055500,0.9998
2,36081000100,0.7604
2,36061008601,0.0033
2,36047056300,1.0
2,36047056500,1.0
2,36047057500,1.0
2,36047057900,1.0
2,36081000700,0.7931
2,36081001900,0.1699
2,36047058900,1.0
2,36081019900,0.4999
2,36061006200,0.0104
2,36061006200,0.2175
2,36061006000,0.3638
2,36061004400,0.4821
0,36081107202,0.0
0,36081071600,0.5202
0,36081107202,0.0004
1,36061004500,1.0
1,36061001501,0.0049
1,36061001501,0.0011
1,36061001502,0.202
1,36061031703,1.0
1,36061000201,1.0
1,36061001501,0.994
1,36061004900,1.0
1,36061005501,0.6568
1,36061005502,0.7106
1,36061003002,0.0203
1,36061003601,1.0
1,36061003602,0.5568
1,36061003300,1.0
1,36061004700,1.0
1,36061004100,1.0
1,36061004300,1.0
1,36061001200,0.0956
1,36061001401,0.9702
1,36061001402,0.867
1,36061001502,0.798
1,36061001800,1.0
1,36061002100,1.0
1,36061002700,1.0
1,36061003001,0.6119
1,36061002500,1.0
1,36061003900,1.0
1,36061000800,1.0
1,36061001600,1.0
1,36061003700,1.0
1,36047000100,0.8365
1,36061000700,0.9165
1,36061000600,1.0
1,36047001300,0.0095
1,36061000202,0.1957
1,36047002100,0.3921
1,36061003100,1.0
1,36061000900,0.0058
1,36061031704,1.0
1,36061002900,1.0
1,36061000900,0.8428
1,36061001300,1.0
1,36061031900,1.0
1,36061000700,0.0835
1,36061000900,0.0735
1,36047000501,0.0136
1,36047000301,0.3336
1,36061006700,0.2642
1,36061006500,0.2837
1,36061006900,0.1749
2,36081017100,0.0184
2,36047044900,0.1778
2,36061002400,0.0033
2,36047056900,1.0
2,36047059300,1.0
2,36047055100,0.1036
2,36061002800,0.316
2,36047047700,0.781
2,36047049700,0.7315
2,36047049900,1.0
2,36047050100,0.9991
2,36047050300,0.0394
2,36047051300,0.1216
2,36047051500,1.0
2,36047051700,1.0
2,36047051900,0.9158
2,36047052300,0.0
2,36047055300,1.0
2,36047056100,1.0
2,36047057100,1.0
2,36047057300,1.0
2,36047059100,1.0
2,36061004400,0.0014
2,36047055700,1.0
2,36061002000,0.0009
2,36061002400,0.0025
2,36061002400,0.0019
2,36061002400,0.0113
2,36061002400,0.6944
2,36047055500,0.9998
2,36081000100,0.7604
2,36061008601,0.0033
2,36047056300,1.0
2,36047056500,1.0
2,36047057500,1.0
2,36047057900,1.0
2,36081000700,0.7931
2,36081001900,0.1699
2,36047058900,1.0
2,36081019900,0.4999
2,36061006200,0.0104
2,36061006200,0.2175
2,36061006000,0.3638
2,36061004400,0.4821
3,36081010701,0.327
3,36081015300,1.0
3,36081009700,1.0
3,36081010100,1.0
3,36081005700,1.0
3,36081005900,1.0
3,36081006100,1.0
3,36081006300,1.0
3,36081006501,1.0
3,36081006502,1.0
3,36081006900,1.0
3,36081007100,1.0
3,36081007300,1.0
3,36081016100,1.0
3,36081009500,1.0
3,36081010300,1.0
3,36081010500,1.0
3,36081011100,1.0
3,36081011300,1.0
3,36081011500,1.0
3,36081011700,1.0
3,36081011900,1.0
3,36081012100,1.0
3,36081012301,0.8278
3,36081012500,1.0
3,36081013500,1.0
3,36081013700,1.0
3,36081014300,1.0
3,36081014500,1.0
3,36081014700,1.0
3,36081014900,1.0
3,36081015100,1.0
3,36081015500,1.0
3,36081015700,0.79
3,36081015900,0.9993
3,36081016300,0.9723
3,36081029500,0.7345
3,36081030902,0.0204
3,36081030904,0.0153
3,36081031700,0.2749
3,36081029700,0.6828
3,36081014100,1.0
3,36081029900,0.9694
3,36061024000,0.1021
3,36081009900,1.0
3,36081017100,0.0496
3,36081003900,0.0529
3,36081003300,0.0026
3,36081004300,0.31
3,36081005100,0.1061
3,36081007500,1.0
3,36081007700,1.0
3,36081007900,1.0
3,36081008100,1.0
3,36081008300,1.0
3,36081008500,0.1236
3,36081009100,1.0
3,36081008700,1.0
3,36081005300,1.0
3,36081004500,1.0
3,36081003700,0.1425
3,36081004700,0.87
3,36081005500,0.157
0,36081107202,0.0
0,36081071600,0.5202
0,36081107202,0.0004
1,36061004500,1.0
1,36061001501,0.0049
1,36061001501,0.0011
1,36061001502,0.202
1,36061031703,1.0
1,36061000201,1.0
1,36061001501,0.994
1,36061004900,1.0
1,36061005501,0.6568
1,36061005502,0.7106
1,36061003002,0.0203
1,36061003601,1.0
1,36061003602,0.5568
1,36061003300,1.0
1,36061004700,1.0
1,36061004100,1.0
1,36061004300,1.0
1,36061001200,0.0956
1,36061001401,0.9702
1,36061001402,0.867
1,36061001502,0.798
1,36061001800,1.0
1,36061002100,1.0
1,36061002700,1.0
1,36061003001,0.6119
1,36061002500,1.0
1,36061003900,1.0
1,36061000800,1.0
1,36061001600,1.0
1,36061003700,1.0
1,36047000100,0.8365
1,36061000700,0.9165
1,36061000600,1.0
1,36047001300,0.0095
1,36061000202,0.1957
1,36047002100,0.3921
1,36061003100,1.0
1,36061000900,0.0058
1,36061031704,1.0
1,36061002900,1.0
1,36061000900,0.8428
1,36061001300,1.0
1,36061031900,1.0
1,36061000700,0.0835
1,36061000900,0.0735
1,36047000501,0.0136
1,36047000301,0.3336
1,36061006700,0.2642
1,36061006500,0.2837
1,36061006900,0.1749
2,36081017100,0.0184
2,36047044900,0.1778
2,36061002400,0.0033
2,36047056900,1.0
2,36047059300,1.0
2,36047055100,0.1036
2,36061002800,0.316
2,36047047700,0.781
2,36047049700,0.7315
2,36047049900,1.0
2,36047050100,0.9991
2,36047050300,0.0394
2,36047051300,0.1216
2,36047051500,1.0
2,36047051700,1.0
2,36047051900,0.9158
2,36047052300,0.0
2,36047055300,1.0
2,36047056100,1.0
2,36047057100,1.0
2,36047057300,1.0
2,36047059100,1.0
2,36061004400,0.0014
2,36047055700,1.0
2,36061002000,0.0009
2,36061002400,0.0025
2,36061002400,0.0019
2,36061002400,0.0113
2,36061002400,0.6944
2,36047055500,0.9998
2,36081000100,0.7604
2,36061008601,0.0033
2,36047056300,1.0
2,36047056500,1.0
2,36047057500,1.0
2,36047057900,1.0
2,36081000700,0.7931
2,36081001900,0.1699
2,36047058900,1.0
2,36081019900,0.4999
2,36061006200,0.0104
2,36061006200,0.2175
2,36061006000,0.3638
2,36061004400,0.4821
3,36081010701,0.327
3,36081015300,1.0
3,36081009700,1.0
3,36081010100,1.0
3,36081005700,1.0
3,36081005900,1.0
3,36081006100,1.0
3,36081006300,1.0
3,36081006501,1.0
3,36081006502,1.0
3,36081006900,1.0
3,36081007100,1.0
3,36081007300,1.0
3,36081016100,1.0
3,36081009500,1.0
3,36081010300,1.0
3,36081010500,1.0
3,36081011100,1.0
3,36081011300,1.0
3,36081011500,1.0
3,36081011700,1.0
3,36081011900,1.0
3,36081012100,1.0
3,36081012301,0.8278
3,36081012500,1.0
3,36081013500,1.0
3,36081013700,1.0
3,36081014300,1.0
3,36081014500,1.0
3,36081014700,1.0
3,36081014900,1.0
3,36081015100,1.0
3,36081015500,1.0
3,36081015700,0.79
3,36081015900,0.9993
3,36081016300,0.9723
3,36081029500,0.7345
3,36081030902,0.0204
3,36081030904,0.0153
3,36081031700,0.2749
3,36081029700,0.6828
3,36081014100,1.0
3,36081029900,0.9694
3,36061024000,0.1021
3,36081009900,1.0
3,36081017100,0.0496
3,36081003900,0.0529
3,36081003300,0.0026
3,36081004300,0.31
3,36081005100,0.1061
3,36081007500,1.0
3,36081007700,1.0
3,36081007900,1.0
3,36081008100,1.0
3,36081008300,1.0
3,36081008500,0.1236
3,36081009100,1.0
3,36081008700,1.0
3,36081005300,1.0
3,36081004500,1.0
3,36081003700,0.1425
3,36081004700,0.87
3,36081005500,0.157
